degree,All Hard Skills,No. of Hard Skills
Chemical Engineering,"['Engineering Design', 'Sedimentation', 'Fluid Mechanics', 'Qualitative Analysis', 'Electrochemistry', 'Energy Conversion', 'Environmental Impact Assessments', 'Product Development', 'Industrial Wastewater', 'Economic Analysis', 'Calorimetry', 'Process Simulation', 'Management Systems', 'Transport Phenomena', 'Organic Synthesis', 'Column Chromatography', 'Fluidization', 'Biochemical Engineering', 'Engineering Practices', 'Statistics', 'Physics', 'Application', 'Laboratory Techniques', 'Unit Processes', 'Simulations', 'Environment', 'Organic Compounds', 'Chemical Process', 'Composite Materials', 'Thermodynamics', 'Process Analysis', 'Organic Chemistry', 'Distillation', 'Service', 'Tool', 'Colloidal Chemistry', 'Environmental Management Systems', 'Random Variables', 'Pollution Prevention', 'Science', 'Biochemistry', 'Piping', 'Ceramics', 'Mass Transfer', 'Engineering', 'CAD', 'Chemical Reaction Engineering', 'Electrolytes', 'Computer Programming', 'Physical Chemistry', 'Training', 'Enzymes', 'Kinematics', 'Colorimetry', 'Biological Materials', 'Electronic Engineering', 'Air Pollution Control', 'Heat Transfer', 'Thermochemistry', 'Filtration', 'Probability', 'Gas', 'Chemical Kinetics', 'Polarimetry', 'Chemical Equilibrium', 'Inertia', 'Optics', 'Calculations', 'Mechanics', 'Electronics', 'Investments', 'Wastewater', 'Investment Decisions', 'Fluid', 'On-The-Job Training', 'Oil', 'Spectrophotometry', 'Advanced Mathematics', 'Equations', 'Energy', 'Differential Equations', 'Material', 'Derivatives', 'Chromatography', 'SOAP', 'Centrifugation', 'Chemistry', 'Statistical Software', 'Statistical software', 'Batch Reactor', 'Plant Design', 'Statistical Analysis', 'Waves', 'Chemical Engineering', 'ImPACT', 'Linear Equations', 'Refrigeration', 'Electricity', 'Experimental Design']",99
Chemistry,"['Reactivity', 'Nanomaterials', 'Spectrophotometry', 'Spectroscopy', 'Laboratory Procedures', 'Quantum Mechanics', 'Waste Minimization', 'Electrochemistry', 'Sampling', 'Laboratory Reports', 'Metabolic Pathways', 'Physical Chemistry', 'Stereochemistry', 'Certain', 'Thermodynamics', 'Inorganic Chemistry', 'Chemistry', 'Catalysis', 'Chemical Thermodynamics', 'Analytical Chemistry', 'Thermochemistry', 'Organic Chemistry', 'Instrumentation', 'Chemical Kinetics', 'Solubility', 'Chemical Equilibrium', 'Statistics', 'Metabolism', 'Mechanics', 'Sample Preparation', 'Calibration', 'Reduction', 'Application', 'Biochemistry']",34
Civil Engineering,"['Foundation Design', 'Highway Design', 'Zoning', 'Sedimentation', 'Surveying Instruments', 'Surveying', 'Object Oriented Modeling And Design', 'Of Water', 'Accounting Systems', 'Mitigation', 'HVAC', 'Slope Stability', 'MATLAB', 'Calorimetry', 'Elastic', 'Hazard Analysis', 'Transportation', 'Quality Management', 'Commissioning', 'Groundwater', 'Warehousing', 'Highway Maintenance', 'Fire Protection Systems', 'Soil Compaction', 'Data Warehousing', 'Trilateration', 'Triangulation', 'Coastal Engineering', 'Tailings', 'Site Planning', 'Engineering Practices', 'Fire Protection', 'Statistics', 'Concrete', 'Enclosure', 'Physics', 'Sediment Transport', 'Application', 'Demolition', 'Engineering Geology', 'Rehabilitation', 'Traffic Engineering', 'Contamination', 'Shear Strength', 'Data Mining', 'Water Supply', 'Wave Propagation', 'Environment', 'Production', 'Transportation Planning', 'Reinforced Concrete', 'System Implementation', 'Drainage', 'Cantilever', 'Vehicle', 'Structural Analysis', 'Building Design', 'Control Systems', 'Service', 'Numerical Analysis', 'Site Assessment', 'Architectural Design', 'Geometric Design', 'Air Transportation', 'Engineering Management', 'Tool', 'Mineralogy', 'Science', 'Random Variables', 'Framework', 'Water Quality', 'Shallow Foundation', 'Excavation', 'Engineering', 'CAD', 'Cost Engineering', 'Urban Transportation', 'Kinematics', 'Air Traffic Control', 'Reinforcement', 'Missing Data', 'Public Works', 'Experimental Design', 'Heat Transfer', 'Telecommunication', 'Infiltration', 'Geology', 'Rigid Bodies', 'Probability', 'Data Presentation', 'Plumbing', 'Consolidation', 'Surface Runoff', 'Acoustics', 'Optics', 'Calculations', 'Mechanics', 'Irrigation', 'Precipitation', 'Earthworks', 'Drainage Systems', 'Analytical Techniques', 'Investment Decisions', 'Mechanical Systems', 'Information Systems', 'Fluid', 'Balancing', 'Topographic Surveying', 'Hydraulics', 'Advanced Mathematics', 'Civil Engineering', 'Equations', 'Bridge Construction', 'Energy', 'Accounting', 'Structural Engineering', 'Restoration', 'Sampling', 'Cost Control', 'Sediment', 'Rainwater Harvesting', 'Differential Equations', 'Plumbing Systems', 'Material', 'Groundwater Flow', 'Traffic Flow', 'Purchasing', 'Economy', 'Fire Safety', 'Shear', 'Chemistry', 'Frequency Analysis', 'Water Distribution', 'Statistical software', 'Statistical Software', 'Electrical Systems', 'Earthquake Engineering', 'Statistical Analysis', 'Occupational Safety And Health', 'Construction', 'Marketing', 'Occupational Safety', 'Waves', 'Laboratory Testing', 'Procurement', 'Subsystems', 'Materials Testing', 'Traffic Control', 'Time Value Of Money', 'ImPACT', 'Dewatering', 'Deep Foundation', 'Project Implementation', 'Airport Security', 'Road Construction', 'Systems Modeling', 'Art', 'Technical Documentation', 'Project Planning', 'Engineering Drawings', 'International Standards', 'Electricity', 'Social Sciences', 'Recycling', 'Risk Management']",165
Computer Engineering,"['Experimentation', 'Engineering Design', 'Actuators', 'TCP/IP', 'Data Structures', 'Design Methods', 'Calorimetry', 'Occupational Health', 'Design Specifications', 'Information Processing', 'Server', 'Oscilloscope', 'Computer Architecture', 'Electronic Circuits', 'Electrical Power', 'Storage Management', 'Engineering Practices', 'Architecture', 'Statistics', 'Process Management', 'Programming languages', 'Software Design', 'Physics', 'Digital Signals', 'Hardware Description Language', 'Application', 'Software Engineering', 'Algorithms', 'Finite State Machine', 'Data Mining', 'System Design', 'Environment', 'Transient Response', 'Data Security', 'Networking', 'Flowcharts', 'Abstractions', 'HDL', 'Computer Engineering', 'System Properties', 'Laboratory Equipment', 'Operating System', 'Control Structures', 'Numerical Analysis', 'Hardware Architecture', 'Transistor', 'TCP', 'Tool', 'Encapsulation', 'Embedded Systems', 'Random Variables', 'Block Diagram', 'Voltage', 'Assembly', 'Engineering', 'CAD', 'Debugging', 'Computer Programming', 'Kinematics', 'Printed Circuit Board', 'Library', 'Experimental Design', 'Heat Transfer', 'Computer Networking', 'Probability', 'Microprocessor', 'Software Quality', 'Modeling Languages', 'Optics', 'Calculations', 'Electronics', 'Investment Decisions', 'Electrical Circuit Analysis', 'Digital', 'Scale', 'Object-Oriented Design', 'Advanced Mathematics', 'Equations', 'Energy', 'Sampling', 'Arithmetic', 'Differential Equations', 'Network Architecture', 'Assembly Language', 'Filter Design', 'Chemistry', 'Quantitative Research', 'Computer System', 'Statistical software', 'Statistical Software', 'Etching', 'File Management', 'Occupational Safety And Health', 'Construction', 'Statistical Analysis', 'Occupational Safety', 'Waves', 'Engineering Design Process', 'Linear Equations', 'Network Security', 'Electricity', 'Graph Theory']",102
Computer Science,"['Algorithms', 'Language Translation', 'Information Systems', 'Graph Algorithms', 'Software Engineering', 'Garbage Collection', 'Licensing', 'Education', 'Equations', 'Assembly', 'Engineering', 'Debugging', 'Arithmetic', 'Software Library', 'Environment', 'Test Case', 'Computer Programming', 'Data Structures', 'Modula', 'Assembly Language', 'Certain', 'Dynamic Programming', 'Abstractions', 'Language Implementation', 'Library', 'Software Development', 'Server', 'Operating System', 'Arithmetic Logic Unit', 'File Management', 'Backtracking', 'Idioms', 'Emerging Technologies', 'Unit Testing', 'Storage Management', 'Revisions', 'Architecture', 'Computing', 'Algorithm Design', 'Protocol', 'Benefits', 'Process Management', 'State Machines', 'Encapsulation', 'Readability', 'Science', 'Application', 'Scalability', 'Memory Leaks', 'Big O Notation', 'Maintainability']",51
Criminology,"['React', 'Education', 'Rehabilitation', 'Justice', 'Criminology', 'Higher Education', 'Law Enforcement', 'Crime Prevention']",8
Development Communications,"['Agriculture', 'Environment', 'Media', 'Social Sciences']",4
Electrical Engineering,"['DC Motors', 'Actuators', 'Electrical Engineering', 'R', 'Calorimetry', 'Stepper Motor', 'Circuit Breakers', 'Partial Differential Equation', 'Instrumentation', 'Conservation', 'Symmetrical Components', 'Electronic Circuits', 'Data Acquisition', 'Number Systems', 'Lighting Systems', 'Engineering Practices', 'Statistics', 'Algebra', 'Stepper', 'Physics', 'Application', 'Transformers', 'Transmission', 'Industrial Processes', 'Economics', 'Compensation', 'Flux', 'Fourier Transform', 'Machinery', 'Environment', 'Production', 'Thermodynamics', 'Control Systems', 'Engineering Research', 'Waste Management', 'C', 'Capacitors', 'Inductors', 'Integrated Circuits', 'Service', 'Numerical Analysis', 'Architectural Design', 'Frequency Response', 'Transistor', 'Voltage Regulation', 'Calibration', 'Random Variables', 'Installation', 'Framework', 'Voltage', 'Education', 'Legislation', 'Engineering', 'CAD', 'Kinematics', 'Voltage Regulator', 'Electronic Engineering', 'Coordinate Systems', 'Heat Transfer', 'Probability', 'Gas', 'Inertia', 'Three-Phase', 'Optics', 'Calculations', 'Mechanics', 'Electronics', 'Investment Decisions', 'Digital', 'Fluid', 'Sustainable Development', 'Fuses', 'Advanced Mathematics', 'Equations', 'Energy', 'Relay Logic', 'Laplace Transform', 'Differential Equations', 'Cost Estimation', 'Chemistry', 'Modulation', 'PID Controllers', 'Statistical Software', 'Statistical software', 'Statistical Analysis', 'Occupational Safety And Health', 'Occupational Safety', 'Waves', 'Research Design', 'Waste Treatment', 'Electrical Wiring', 'Frequency Domain', 'Linear Equations', 'State Machines', 'Electricity', 'International Standards', 'Experimental Design']",97
Electronics Engineering,"['Bit Error Rate', 'STL', 'Actuators', 'Quantum Mechanics', 'Surveying', 'TCP/IP', 'Energy Conversion', 'Systems Architecture', 'Coding Theory', 'Economic Analysis', 'Calorimetry', 'Customer Relationship Management (CRM)', 'Gamma Camera', 'Antenna', 'Medical', 'Biomass', 'Enterprise Resource Planning', 'Memory Hierarchy', 'Ionizing Radiation', 'Server', 'Instrumentation', 'Fabrication', 'Conservation', 'Data Acquisition', 'Number Systems', 'Computers', 'Spread Spectrum', 'Energy Conservation', 'Engineering Practices', 'Architecture', 'Statistics', 'Algebra', 'Stage', 'Physics', 'Anatomy', 'Application', 'Information Theory', 'Transformers', 'Impact Assessment', 'Software Engineering', 'Outside Plant', 'Medical Terminology', 'Transmission', 'Industrial Processes', 'Candidate Relationship Management (CRM)', 'Flux', 'Compression', 'Wave Propagation', 'Fourier Transform', 'System Design', 'Environment', 'Memory Management', 'Production', 'Composite Materials', 'Thermodynamics', 'Networking', 'CCTV', 'Adaptive Control', 'Vector Calculus', 'ERP', 'Control Systems', 'Circuit Theory', 'Quantization', 'Service', 'Modems', 'Hardware Architecture', 'Renewable Energy', 'Biomedical Engineering', 'Pathology', 'Optimal Control', 'Transistor', 'TCP', 'Image Processing', 'Encapsulation', 'Signal Processing', 'Patents', 'Imaging', 'Science', 'Random Variables', 'High Frequency', 'Data Compression', 'Ceramics', 'Framework', 'Block Diagram', 'Calculus', 'Engineering', 'CAD', 'Debugging', 'Map', 'Kinematics', 'Electronic Engineering', 'Heat Transfer', 'Telecommunication', 'Image Restoration', 'Spectral Analysis', 'Wind Power', 'Probability', 'Insurance', 'Firewall', 'Microprocessor', 'Pipelining', 'Three-Phase', 'Memory Systems', 'Optics', 'Calculations', 'Mechanics', 'Acoustics', 'QAM', 'Environmental Science', 'Multiplexing', 'Electronics', 'Outside Plant Engineering', 'Investment Decisions', 'Transmission Systems', 'Digital', 'W-CDMA', 'VHDL', 'Advanced Mathematics', 'Linear Systems', 'Biasing', 'Equations', 'Nuclear Energy', 'Torque', 'Energy', 'Resource Allocation', 'Restoration', 'Sampling', 'Laplace Transform', 'Differential Equations', 'Media', 'Magnetic Resonance Imaging', 'Resource Planning', 'Radiation Protection', 'Chemistry', 'Robotics', 'Customer Relationship Management', 'Modulation', 'Frequency Analysis', 'Multiplexers', 'Statistical software', 'Self', 'Tomography', 'Ecology', 'Computer System', 'Statistical Software', 'Statistical Analysis', 'Waves', 'Subsystems', 'ImPACT', 'Electricity', 'Discrete Cosine Transform', 'Experimental Design', 'Systems Integration', 'Digital Systems', 'Data Centers']",155
Environmental Planning,"['Regional Planning', 'Water Resources', 'Environmental Planning', 'Rehabilitation', 'Art', 'Conservation', 'Urban and Regional Planning', 'Science', 'Environment']",9
Environmental Science,"['Genetics', 'Ecology', 'Environmental Science', 'Developmental Biology', 'Environmental Quality', 'Biology', 'Ecological Systems', 'Taxonomy', 'Science', 'Environment']",10
Exercise and Sports Science,"['Conceptualization', 'Organizational Structure', 'Business Planning', 'Education', 'Digital Media', 'Energy', 'Accounting', 'Environment', 'Media', 'Training', 'Kinematics', 'Digital', 'Food', 'Cardiovascular Fitness', 'Information Processing', 'Hypertrophy', 'Self', 'Merchandising', 'Marketing', 'Physical Education', 'Service', 'Psychology', 'Corporate Social Responsibility', 'Pathology', 'Training Programs', 'Sports', 'Group Dynamics', 'Art', 'Science', 'Application', 'Health Education', 'Operations Management', 'Framework']",33
Food Technology,"['Engineering', 'Food Preparation', 'Fermentation', 'Risk Analysis', 'Food Processing', 'Chemistry', 'Food', 'Regulatory Developments', 'Food Science', 'Food Technology', 'Nutrition', 'Statistical Analysis', 'Traceability', 'Manufacturing', 'ImPACT', 'Refrigeration', 'Food Law', 'Science', 'Proposal Writing']",19
Geology,"['Microscopy', 'Uranium', 'Hydrocarbon', 'Factor Analysis', 'Banking', 'Sedimentation', 'Seabed', 'Geostatistics', 'Drawing', 'Surveying', 'Linear Discriminant Analysis', 'Electrochemistry', 'Of Water', 'Drilling', 'Visualization', 'Fluid Statics', 'Mitigation', 'Data Structures', 'Structural Geology', 'Slope Stability', 'Economic Analysis', 'Risk Analysis', 'Events', 'Elastic', 'Pipe', 'Crystallization', 'Digital Image', 'Exploitation', 'Soil Mechanics', 'Groundwater', 'Digital Image Processing', 'Environmental Monitoring', 'Instrumentation', 'Economic Development', 'Conservation', 'Biosphere', 'Data Acquisition', 'Trace Element', 'Computers', 'Statistics', 'Agriculture', 'Wildlife Management', 'Stage', 'Organic Geochemistry', 'Physics', 'Historical Geology', 'Sedimentology', 'Application', 'Impact Assessment', 'Physical Oceanography', 'Transmission', 'Rehabilitation', 'Economics', 'Geological Engineering', 'Wave Propagation', 'Technical Writing', 'Environment', 'Geothermal Energy', 'Marine Biology', 'Production', 'Composite Materials', 'Thermodynamics', 'Proportion', 'Drainage', 'Pipe Flow', 'Geochemistry', 'Shale', 'Scheme', 'Stratigraphy', 'Service', 'Marine Science', 'ANOVA', 'Geomorphology', 'Image Processing', 'Sketching', 'Magma', 'Tool', 'Lithology', 'Negative Space', 'Electromagnetism', 'Haulage', 'Science', 'Mineralogy', 'Deformation', 'Random Variables', 'Confidence Intervals', 'Biochemistry', 'Ceramics', 'Framework', 'Water Quality', 'Petrology', 'Geographic information system', 'Engineering', 'Map', 'Prediction', 'Training', 'Geophysics', 'Kinematics', 'Certain', 'Climate Change', 'Phonography', 'Open-Pit Mining', 'Geology', 'Descriptive Statistics', 'Probability', 'Gas', 'Diagenesis', 'J', 'Chemical Kinetics', 'Colloids', 'Chemical Equilibrium', 'Geometry', 'AFM', 'Surface Runoff', 'Landscape', 'Hoisting', 'Mechanics', 'Precipitation', 'Underground Mining', 'Morphology', 'Analytical Techniques', 'Natural Gas', 'Forestry', 'Global Positioning Systems', 'Digital', 'Fluid', 'Remote Sensing', 'Chemical Composition', 'Oceanography', 'Oil', 'Scale', 'Polarization', 'Equations', 'Energy', 'Sampling', 'Biological Systems', 'Hydrocarbon Exploration', 'Radar', 'Biology', 'Economy', 'Entrepreneurship', 'Chemistry', 'Facies', 'X-Ray Crystallography', 'Photogrammetry', 'Urban Planning', 'Tomography', 'Ecology', 'Marketing', 'Construction', 'Waves', 'Procurement', 'Research Design', 'ImPACT', 'Weathering', 'PIT', 'Crystallography', 'Financial Planning', 'Light Microscopes', 'Statistical Inference', 'Seismology', 'Prospecting', 'International Business', 'Macroeconomics', 'Ocean Currents', 'Biometrics', 'Chemical Thermodynamics']",167
Hospitality Tourism Management,"['Event Management', 'Hygiene', 'Insurance Law', 'Mitigation', 'Econometrics', 'Events', 'Occupational Health', 'Transportation', 'Quality Management', 'Financial Analysis', 'Tourism', 'Practicum', 'Travel', 'Food and Beverage', 'General Maintenance', 'Conservation', 'Logbook', 'Advertising', 'Hospitality Industry', 'Franchising', 'Agriculture', 'Benefits', 'Personal Finance', 'Front Office', 'Application', 'Housekeeping', 'Hotel Management', 'Profiling', 'Organizational Structure', 'Business-To-Business', 'Economics', 'Travel and Tourism', 'Tourism Management', 'Food Preparation', 'Environment', 'Production', 'Networking', 'Applied Economics', 'Beverage', 'Intellectual Property Management', 'Waste Management', 'Service', 'Supply Chain', 'Food Safety And Sanitation', 'Hotels', 'Supplier Management', 'Framework', 'Education', 'Legislation', 'Logistics', 'Gastronomy', 'Intellectual Property', 'Promotions', 'Training', 'Certain', 'Business-To-Consumer', 'Social Entrepreneurship', 'Gaming Law', 'Supply Chain Management', 'Risk Mitigation', 'Insurance', 'Campaigns', 'Historic Preservation', 'Investments', 'Public Relations', 'Conceptualization', 'Sustainable Tourism', 'Licensing', 'International Credit', 'Consumer Protection', 'Accounting', 'Conferences', 'Strategic Management', 'Travel Insurance', 'Biodiversity', 'Economy', 'Entrepreneurship', 'Food', 'International Tourism', 'Self', 'Marketing', 'Basic First Aid', 'Property Management', 'ImPACT', 'Financial Planning', 'Product Knowledge']",86
Industrial Engineering,"['Manufacturing Automation', 'Facilities Planning', 'Management Systems', 'Quality Management', 'Information Processing', 'Feasibility Studies', 'Manufacturing', 'Manufacturing Operations', 'Analysis Of Variance (ANOVA)', 'Application', 'Error Analysis', 'Biomechanics', 'Alternating Current', 'Computer-Aided Manufacturing', 'Workstation Design', 'Environment', 'Flexible Manufacturing Systems', 'Production', 'Thermodynamics', 'Dynamic Programming', 'Engineering Research', 'Waste Management', 'Chemical Reactions', 'Service', 'ANOVA', 'Supply Chain', 'Differential Calculus', 'Random Variables', 'Industrial Engineering', 'Ceramics', 'Framework', 'Quality Management Systems', 'Time Study', 'Analysis Of Variance', 'Legislation', 'Calculus', 'Engineering', 'CAD', 'Work Sampling', 'Training', 'Kinematics', 'Supply Chain Management', 'QMS', 'Thermochemistry', 'Rigid Bodies', 'Probability', 'Gas', 'Network Flow', 'Mechanics', 'Direct Current', 'Revenue Management', 'Investment Decisions', 'Information Systems', 'Sustainable Development', 'On-The-Job Training', 'Automation', 'Usability', 'Equations', 'Energy', 'Accounting', 'Sampling', 'Differential Equations', 'Ergonomics', 'Detection Theory', 'Inventory', 'Material', 'Economy', 'Game Theory', 'Occupational Safety And Health', 'Occupational Safety', 'Marketing', 'Systems Analysis', 'Subsystems', 'Waste Treatment', 'Time Value Of Money', 'Finite Difference', 'Quantitative Modeling']",77
Industry Security Management,"['Application', 'Risk Management']",2
Information Systems,"['Algorithms', 'Information Systems', 'Recursion', 'Licensing', 'Organizational Structure', 'Technology Solutions', 'Business Performance Management', 'Systems Thinking', 'Software Library', 'Environment', 'Data Structures', 'Abstractions', 'Information Architecture', 'Library', 'Quality Management', 'Software Development', 'Idioms', 'Parameter', 'Systems Analysis', 'Emerging Technologies', 'Unit Testing', 'Architecture', 'Computing', 'IT Infrastructure', 'Scalability']",25
Information Technology,"['Algorithms', 'Information Systems', 'Digital Libraries', 'Software Engineering', 'Balancing', 'Recursion', 'Web Applications', 'Licensing', 'Education', 'Usability', 'XHTML', 'Assembly', 'Engineering', 'Trunking', 'Debugging', 'Scripting', 'Software Library', 'Load Balancing', 'Environment', 'Data Structures', 'Media', 'XML', 'Events', 'System Requirements', 'Abstractions', 'Library', 'Digital', 'Middleware', 'Software Development', 'Server', 'HTML', 'Warehousing', 'Operating System', 'Server-Side', 'XSLT', 'Data Warehousing', 'Parameter', 'Service', 'Idioms', 'Emerging Technologies', 'Unit Testing', 'ImPACT', 'XSL', 'Computing', 'Enterprise Integration', 'Scripting Language', 'Encapsulation', 'Application', 'Scalability', 'Framework']",50
Interior Design,"['Art', 'ACT', 'Science', 'Interior Design', 'Framework']",5
Internal Auditing,"['General Accounting', 'Education', 'Internal Auditing', 'Auditing Standards', 'Accounting', 'International Education', 'Supply Chain', 'Auditing', 'Risk Management', 'ImPACT', 'Framework']",11
Landscape Architecture,"['Landscape', 'Landscape Architecture', 'Environment', 'Architecture']",4
Management Accounting,"['C', 'General Accounting', 'Education', 'Rooting', 'Financial Reporting', 'Organizational Performance', 'Management Accounting', 'Accounting', 'International Education', 'Management Systems', 'Environment', 'Framework']",12
Marine Biology,"['Geology', 'Marine Biology', 'Physics', 'Anatomy', 'Biology', 'Physiology', 'Taxonomy', 'Resource Management', 'Morphology', 'Algae', 'Marine Habitats', 'Go']",12
